Predicted_Labels  True_Labels
6  6
12  12
0  0
7  7
2  2
13  9
17  17
6  6
9  9
9  8
9  9
11  11
7  6
11  11
10  10
0  0
3  3
15  15
11  11
7  7
0  0
8  8
7  7
1  3
5  9
7  8
13  10
7  7
7  9
7  7
8  8
3  3
5  5
11  11
7  7
11  11
5  5
5  9
11  11
5  9
13  17
11  11
13  10
8  8
15  15
15  14
1  1
10  10
6  6
16  16
2  2
2  9
1  3
8  8
2  2
17  17
5  5
1  1
7  8
2  2
1  1
17  17
5  9
7  7
8  12
17  17
6  6
7  7
5  4
5  9
8  8
7  7
10  10
5  9
6  4
9  9
2  14
12  12
13  11
5  4
3  3
1  1
5  5
16  16
10  10
10  10
7  8
17  17
8  8
17  17
7  7
8  8
17  17
5  5
16  16
7  7
15  15
4  4
7  7
7  2
3  3
5  5
8  8
16  16
5  9
13  13
2  2
15  15
8  8
2  2
7  7
7  2
17  17
1  1
3  8
9  9
10  10
15  15
10  10
5  5
7  7
17  17
10  10
7  7
5  9
9  9
1  3
11  11
5  9
0  0
8  8
15  15
13  13
9  9
5  9
11  17
3  3
16  16
6  6
10  10
2  13
2  2
17  17
5  7
7  7
11  11
13  17
1  1
17  17
13  13
8  8
6  6
7  7
3  8
5  9
12  12
12  12
5  9
1  1
7  0
7  7
8  8
2  2
7  7
11  11
10  10
7  7
12  8
7  7
16  16
0  0
5  8
8  8
9  9
17  17
13  13
10  10
10  10
6  6
13  11
10  7
7  9
8  8
12  12
14  14
7  7
13  11
1  1
7  7
14  15
9  2
16  16
5  9
2  2
3  3
13  13
11  11
17  17
1  8
15  15
6  6
10  10
14  14
16  16
5  5
0  0
13  13
1  1
6  6
13  13
6  6
7  5
6  6
14  14
2  10
8  8
10  10
7  7
9  9
0  0
8  8
6  6
15  15
15  15
12  12
0  0
3  3
2  2
8  8
13  13
7  7
11  11
3  3
2  2
13  17
13  13
6  6
9  9
10  10
6  6
5  9
13  10
14  14
2  2
5  9
8  8
3  3
14  14
14  14
2  2
8  8
7  8
6  6
9  9
8  8
0  0
1  1
3  3
2  9
8  8
1  1
1  3
17  17
0  9
2  2
2  9
15  15
14  14
2  2
10  10
1  1
7  8
15  15
9  9
11  11
6  6
9  2
3  8
15  9
10  10
16  16
9  9
1  1
2  10
11  11
10  10
5  9
11  11
16  10
10  10
14  14
12  8
16  16
13  13
13  13
6  6
8  8
0  0
5  5
3  1
2  2
16  16
1  1
15  15
3  3
5  4
3  3
5  14
13  2
3  3
6  6
17  17
17  17
12  12
7  7
13  13
6  5
0  0
6  6
11  11
10  10
5  5
12  3
7  8
3  3
8  8
5  4
12  12
12  12
15  15
7  2
17  17
8  8
6  6
11  11
2  2
11  11
12  12
5  6
14  5
10  2
12  8
3  8
5  6
13  2
7  7
17  17
1  1
6  6
2  10
13  13
5  5
17  17
2  2
1  12
6  6
7  7
7  8
12  12
8  8
2  2
5  5
9  17
6  5
17  17
8  8
5  4
9  8
14  14
13  13
6  5
17  9
5  4
12  12
15  15
3  3
1  1
16  16
6  6
17  17
5  9
12  12
10  10
0  0
5  5
