Predicted_Labels  True_Labels
6  6
8  2
3  3
13  10
7  2
13  2
13  13
2  2
8  8
13  17
17  17
8  8
8  7
11  11
3  1
9  9
11  11
7  2
9  5
3  1
2  10
3  3
11  11
10  10
12  12
13  13
9  6
9  17
9  4
13  10
8  8
7  7
3  3
12  12
9  2
16  16
9  6
8  2
15  15
2  2
0  0
15  15
11  11
10  10
5  6
13  17
2  2
15  15
14  14
13  10
8  0
16  13
9  0
8  8
10  10
11  11
8  1
11  10
12  1
2  10
1  1
12  12
2  2
16  10
3  1
8  0
3  3
8  8
16  16
11  11
3  1
11  11
11  11
8  8
16  10
1  3
9  9
14  2
9  5
9  9
17  17
1  8
2  2
8  8
7  7
3  3
8  8
16  10
7  2
9  9
8  8
16  16
10  10
0  0
15  15
12  8
7  7
16  16
14  5
8  7
7  7
7  0
11  11
9  6
2  13
15  2
15  15
1  3
13  17
1  3
7  5
9  9
9  4
2  2
14  14
12  12
0  0
9  6
9  17
14  14
5  6
8  5
12  12
7  7
10  10
13  11
7  0
12  12
8  1
15  15
0  7
8  1
3  3
3  3
13  13
9  7
0  0
2  2
2  2
13  13
9  4
0  0
13  2
7  8
9  5
16  2
8  8
13  17
3  1
7  7
14  15
14  9
0  8
8  0
12  8
8  8
13  17
3  3
12  12
2  2
10  10
9  5
16  16
9  9
9  5
14  14
0  0
9  2
3  8
3  3
12  12
3  3
3  1
13  13
1  1
12  12
7  5
11  17
8  8
7  7
9  9
8  0
8  9
13  17
13  13
13  13
13  10
11  11
3  3
13  11
0  0
15  15
3  1
8  8
14  14
2  2
9  9
9  7
2  10
9  17
13  13
1  3
7  7
17  17
8  7
7  7
9  17
3  3
7  0
1  1
6  6
16  16
11  11
13  11
3  1
9  5
2  2
3  1
9  4
10  10
9  7
9  2
11  11
12  12
14  14
3  3
11  11
0  6
6  6
8  8
9  5
9  6
9  5
2  2
9  6
12  12
2  2
11  11
0  0
16  16
9  2
16  2
12  3
16  16
11  11
8  8
9  14
10  10
7  7
17  17
9  9
15  14
1  1
0  0
1  1
9  9
15  15
7  7
13  13
8  8
8  8
17  17
15  15
10  10
11  11
0  10
8  8
1  3
8  8
7  7
2  2
2  2
12  12
1  3
6  6
8  8
13  13
9  9
15  15
13  13
8  2
3  1
12  12
11  17
13  13
13  13
9  5
1  3
9  9
3  8
9  6
2  2
12  12
16  10
1  1
7  7
6  6
14  14
14  15
6  6
16  16
1  1
9  6
17  17
9  9
13  11
0  2
13  11
11  13
12  1
3  3
11  11
1  1
8  6
8  8
0  0
15  15
16  16
9  9
16  16
7  0
2  2
17  17
13  13
12  8
9  9
10  10
13  17
13  13
13  11
9  5
13  13
1  3
8  8
7  7
2  5
12  8
9  9
13  13
3  1
12  1
9  4
6  6
2  9
3  1
5  5
13  11
8  0
3  3
6  6
9  6
14  15
9  14
15  2
1  1
13  13
13  13
2  2
10  10
5  5
9  7
9  5
11  11
6  6
13  17
12  8
12  12
9  4
9  4
9  2
9  14
12  8
9  4
12  12
9  9
12  3
8  8
15  15
6  6
16  13
9  9
11  11
8  8
9  5
12  8
9  17
9  9
3  1
6  6
3  3
13  13
12  12
3  3
6  6
16  16
7  7
0  0
8  8
9  9
12  12
1  3
9  5
0  0
9  4
15  15
12  12
0  0
9  9
2  2
1  8
8  8
7  7
12  2
13  13
13  13
9  9
9  5
14  2
14  14
3  3
9  5
7  7
12  8
13  13
13  13
9  9
13  13
7  7
8  7
13  13
16  16
7  7
11  17
7  7
12  12
15  15
9  4
16  10
14  14
0  0
10  10
2  16
8  7
13  2
7  7
8  1
15  15
17  17
3  1
11  11
11  11
9  6
3  3
8  8
13  11
16  16
11  11
9  4
14  14
14  14
11  11
2  16
8  8
5  5
1  1
16  16
2  2
9  5
2  2
15  14
6  5
13  10
8  8
2  2
3  1
12  8
8  8
2  2
12  3
1  8
7  7
9  7
7  7
14  14
15  14
9  2
8  8
3  3
9  9
12  8
8  8
9  2
9  17
0  0
12  12
16  16
15  15
9  7
9  5
16  16
2  2
16  2
5  9
7  0
10  10
13  17
13  17
10  10
7  7
8  8
8  8
2  2
15  15
1  3
8  8
7  7
13  5
7  7
12  12
13  17
13  5
13  13
3  3
12  12
8  6
9  17
9  5
6  6
7  10
13  10
13  13
12  1
12  8
2  10
11  11
6  6
7  7
6  6
2  2
13  2
1  1
13  13
9  4
12  12
8  8
6  6
9  2
2  2
13  2
0  0
2  2
8  8
13  13
3  3
3  3
8  2
2  16
2  2
12  12
9  5
17  17
9  2
7  7
16  16
0  0
7  2
9  9
9  0
7  7
12  16
16  16
11  11
6  6
17  17
9  4
3  3
6  6
3  3
17  17
9  9
8  8
11  11
9  7
12  12
17  17
17  17
17  13
11  11
2  2
16  16
16  16
6  6
8  8
9  9
8  8
11  11
7  7
13  11
8  2
1  3
14  14
14  14
9  9
11  11
5  6
2  2
16  10
13  17
2  2
14  5
0  7
0  0
13  17
16  10
5  4
2  10
9  2
9  9
8  8
11  11
0  0
9  10
12  12
9  4
16  16
3  3
7  7
1  1
7  7
15  15
16  13
9  5
13  10
10  10
9  5
7  2
5  6
8  8
13  10
1  3
0  7
9  9
13  10
13  13
9  9
0  2
7  0
6  6
9  5
5  5
14  5
9  7
15  15
16  16
12  1
6  6
10  10
6  6
3  3
1  1
9  9
16  16
1  8
9  9
7  7
9  5
13  13
13  17
10  10
12  12
3  3
16  10
13  17
12  2
9  6
9  0
13  13
8  0
14  4
6  6
12  12
16  16
6  6
2  2
3  3
10  10
3  3
3  3
10  10
15  15
17  17
0  0
8  0
9  2
15  15
9  4
3  3
16  16
2  2
7  7
8  13
3  1
8  8
13  17
9  5
10  10
12  12
12  12
5  4
16  10
9  9
1  3
16  16
3  1
3  3
13  13
2  16
2  2
9  9
1  3
3  3
7  7
7  7
1  3
15  15
3  1
1  1
9  5
6  6
8  8
16  16
2  2
9  9
15  15
1  8
13  2
3  3
17  17
15  15
2  11
10  10
3  3
16  10
12  12
0  0
9  9
3  1
8  8
1  1
14  14
16  16
13  10
7  7
2  13
8  8
9  0
2  2
3  3
9  5
9  9
1  12
9  7
9  9
15  14
17  11
3  1
9  7
15  15
9  9
3  1
10  10
13  13
9  9
2  2
16  16
1  1
7  7
10  10
3  3
9  9
8  0
1  8
8  8
9  7
2  2
0  0
8  2
16  16
2  13
3  3
8  8
9  9
6  6
7  7
12  12
9  9
2  2
0  0
16  10
7  7
8  6
8  0
12  12
6  6
8  8
3  3
8  8
9  4
3  1
13  17
17  17
1  8
5  5
8  8
7  7
9  9
9  4
13  13
8  8
13  10
13  17
10  10
9  4
12  12
13  13
9  17
6  6
1  8
12  8
17  17
15  15
7  7
16  16
12  8
2  2
2  2
16  16
5  14
15  14
9  5
8  8
16  16
3  1
7  7
6  6
12  12
16  10
3  3
1  3
12  12
9  9
2  9
13  17
13  13
3  3
9  9
12  8
1  1
9  17
9  9
5  6
2  2
3  1
9  9
13  10
15  14
9  7
13  11
12  12
16  16
9  9
11  10
9  5
7  7
8  8
8  8
16  16
11  17
12  12
7  7
15  15
9  17
8  8
8  8
13  13
12  8
13  13
16  16
8  8
12  12
2  2
7  7
8  6
9  9
13  17
12  8
12  12
16  16
9  4
6  6
16  16
13  2
7  7
10  10
9  9
7  7
16  16
9  9
14  14
7  7
6  6
11  11
2  10
16  16
2  2
8  8
15  15
9  9
1  1
11  11
9  7
12  12
7  7
9  7
3  3
9  5
17  17
6  6
11  11
16  16
10  10
3  3
5  9
15  15
15  15
3  3
13  17
3  1
7  2
3  8
11  11
8  8
13  13
9  5
13  10
7  9
15  15
3  3
7  7
1  1
7  0
16  16
9  9
12  12
13  13
3  3
1  1
9  5
13  17
7  7
14  15
15  14
16  16
12  12
11  11
7  7
12  12
17  17
8  8
9  9
7  7
6  5
7  7
16  10
9  9
7  0
11  11
13  13
13  13
16  16
13  11
12  12
8  6
8  0
9  2
13  13
3  3
12  12
16  16
6  6
15  15
12  12
2  13
9  7
17  17
1  8
9  5
3  3
3  3
8  13
2  2
9  9
2  2
8  8
3  3
1  8
9  17
1  1
9  4
16  16
9  9
3  1
13  10
8  12
8  8
11  11
15  15
9  8
14  14
7  7
2  2
13  11
8  8
13  13
1  1
7  5
9  5
7  0
8  6
9  7
11  11
0  9
6  9
16  16
1  3
15  15
9  9
12  12
12  12
3  3
7  7
12  1
8  8
