Predicted_Labels  True_Labels
8  0
0  0
7  0
0  0
0  0
0  0
0  0
0  0
8  0
0  0
8  0
8  0
9  0
0  0
7  0
0  0
9  0
0  0
0  0
0  0
0  0
9  0
8  0
8  0
8  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
8  0
8  0
8  0
8  0
0  0
9  0
0  0
0  0
8  0
8  0
8  0
8  0
8  0
8  0
8  0
8  0
8  0
8  0
8  0
8  0
0  0
8  0
8  0
0  0
0  0
8  0
8  0
8  0
8  0
8  0
0  0
5  0
0  0
8  0
0  0
7  0
0  0
0  0
9  0
9  0
9  0
8  0
8  0
8  0
8  0
8  0
8  0
8  0
0  0
8  0
8  0
8  0
8  0
8  0
8  0
8  0
8  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
8  0
0  0
8  0
1  1
3  1
3  1
3  1
1  1
1  1
1  1
3  1
1  1
1  1
12  1
3  1
3  1
1  1
3  1
1  1
12  1
1  1
1  1
1  1
1  1
8  1
1  1
1  1
1  1
3  1
1  1
12  1
3  1
1  1
3  1
12  1
3  1
3  1
1  1
1  1
1  1
3  1
1  1
1  1
3  1
1  1
3  1
3  1
1  1
12  1
3  1
1  1
3  1
1  1
3  1
1  1
1  1
3  1
3  1
3  1
12  1
3  1
3  1
1  1
3  1
3  1
1  1
3  1
3  1
3  1
3  1
3  1
1  1
12  1
1  1
3  1
1  1
3  1
3  1
3  1
3  1
3  1
1  1
8  1
3  1
12  1
3  1
12  1
3  1
3  1
3  1
3  1
3  1
3  1
3  1
3  1
3  1
1  1
3  1
3  1
3  1
3  1
1  1
3  1
3  1
3  1
1  1
12  1
8  1
10  2
10  2
10  2
0  2
10  2
10  2
0  2
2  2
10  2
11  2
0  2
10  2
11  2
2  2
10  2
10  2
8  2
8  2
8  2
8  2
8  2
8  2
8  2
8  2
7  2
10  2
5  2
0  2
0  2
0  2
0  2
0  2
5  2
9  2
9  2
9  2
7  2
5  2
0  2
5  2
5  2
10  2
16  2
8  2
16  2
10  2
16  2
5  2
10  2
16  2
16  2
7  2
10  2
12  2
0  2
7  2
8  2
10  2
8  2
12  2
12  2
7  2
10  2
7  2
8  2
0  2
8  2
8  2
10  2
8  2
8  2
8  2
0  2
8  2
16  2
16  2
8  2
7  2
0  2
2  2
9  2
0  2
10  2
10  2
9  2
0  2
